Outcome	drug	Outcome2
No-Effect	1-acetyl-4-methylpiperazine	No-Effect
No-Effect	threo-2-methylisocitrate-(DL)	No-Effect
No-Effect	compound-58112	No-Effect
No-Effect	meprylcaine	No-Effect
No-Effect	IBC-293	No-Effect
No-Effect	3-MATIDA	No-Effect
No-Effect	torin-1	No-Effect
No-Effect	GSK2193874	No-Effect
Manual Inspection	ICI-63197	No-Effect
No-Effect	GNF-7	No-Effect
No-Effect	L-161982	No-Effect
No-Effect	DMNB	No-Effect
Very Weak (35%)	WYE-687	Very Weak (35%)
No-Effect	4-carboxy-3-hydroxyphenylglycine-(RS)	No-Effect
No-Effect	WAY-170523	No-Effect
No-Effect	AMPA-(S)	No-Effect
No-Effect	L-755507	No-Effect
Very Weak (35%)	VER-49009	Very Weak (35%)
No-Effect	P5091	No-Effect
No-Effect	SAR131675	No-Effect
No-Effect	L-760735	No-Effect
No-Effect	DR-2313	No-Effect
No-Effect	homoquinolinic-acid	No-Effect
No-Effect	CDK1-5-inhibitor	No-Effect
No-Effect	N-acetyltryptamine	No-Effect
No-Effect	niguldipine-(R)-(-)	No-Effect
No-Effect	2-APB	No-Effect
Very Weak (35%)	AMG-PERK-44	Very Weak (35%)
No-Effect	NU-1025	No-Effect
No-Effect	SIB-1893	No-Effect
No-Effect	KRCA-0008	No-Effect
No-Effect	GW-583340	No-Effect
No-Effect	1-phenylbiguanide	No-Effect
No-Effect	3,5-DHPG-(S)	No-Effect
No-Effect	IDO5L	No-Effect
No-Effect	PIK-294	No-Effect
No-Effect	carsalam	No-Effect
No-Effect	ethyl-vanillin	No-Effect
No-Effect	Isoquinoline,-6,7-dimethoxy-1-methyl-1,2,3,4-tetrahydro,	No-Effect
No-Effect	CNX-2006	No-Effect
No-Effect	PHA-665752	No-Effect
No-Effect	salsolinol-1-carboxylic-acid	No-Effect
No-Effect	NS-5806	No-Effect
No-Effect	ampyrone	No-Effect
No-Effect	salicylanilide	No-Effect
Weak (50%)	geldanamycin	Weak (50%)
No-Effect	azaserine	No-Effect
No-Effect	hexonic-acid	No-Effect
No-Effect	PSI-7976	No-Effect
No-Effect	ONX-0914	No-Effect
No-Effect	2-methyl-5-nitrophenol	No-Effect
No-Effect	lipoamide	No-Effect
No-Effect	dioxybenzone	No-Effect
No-Effect	TCS-3035	No-Effect
No-Effect	cardiogenol-C	No-Effect
Manual Inspection	A-582941	No-Effect
No-Effect	thioperamide	No-Effect
Cyto	palmitoylcarnitine	Cyto
No-Effect	AC-7954-(+/-)	No-Effect
No-Effect	alda-1	No-Effect
Very Weak (35%)	dicyclohexylamine	Very Weak (35%)
Manual Inspection	TMPH	No-Effect
No-Effect	FGIN-1-43	No-Effect
No-Effect	5-methylhydantoin-(L)	No-Effect
No-Effect	2-aminobenzenesulfonamide	No-Effect
No-Effect	efloxate	No-Effect
Manual Inspection	C-751	No-Effect
No-Effect	bromebric-acid	No-Effect
Weak (50%)	LY2857785	Weak (50%)
No-Effect	THZ2	No-Effect
No-Effect	MK2-IN-1	No-Effect
No-Effect	SB-225002	No-Effect
No-Effect	GPBAR-A	No-Effect
No-Effect	TGX-221	No-Effect
No-Effect	PYR-41	No-Effect
No-Effect	pifithrin-alpha	No-Effect
No-Effect	spermidine	No-Effect
No-Effect	TC-I-2000	No-Effect
No-Effect	KG-5	No-Effect
No-Effect	SB-505124	No-Effect
No-Effect	mimosine	No-Effect
No-Effect	SB-268262	No-Effect
Strong (80%)	URMC-099	Strong (80%)
Strong (80%)	SAR405	Strong (80%)
Cyto	BI-D1870	Cyto
No-Effect	trimethylolpropane-triacrylate	No-Effect
Manual Inspection	SB-228357	No-Effect
No-Effect	TH-588	No-Effect
No-Effect	PHA-767491	No-Effect
Weak (50%)	cycloheximide	Weak (50%)
Manual Inspection	androstenone	No-Effect
No-Effect	methiazole	No-Effect
No-Effect	evodiamine	No-Effect
Cyto	WZ-4002	Cyto
No-Effect	ML204	No-Effect
No-Effect	PD1-PDL-inhibitor-1	No-Effect
No-Effect	oxotremorine-M	No-Effect
No-Effect	flurothyl	No-Effect
No-Effect	FPA-124	No-Effect
No-Effect	CGH2466	No-Effect
No-Effect	AM-92016	No-Effect
No-Effect	BD-1047	No-Effect
Strong (80%)	SKI-II	Strong (80%)
Weak (50%)	chlorophyllin	Weak (50%)
No-Effect	BAN-ORL-24	No-Effect
No-Effect	phthalylsulfacetamide	No-Effect
No-Effect	cephalomannine	No-Effect
No-Effect	fluroxene	No-Effect
No-Effect	TC-F-2	No-Effect
Weak (50%)	YM-201636	Weak (50%)
No-Effect	4-phenolsulfonic-acid	No-Effect
No-Effect	4-methylgenistein	No-Effect
No-Effect	SB-525334	No-Effect
No-Effect	carzenide	No-Effect
No-Effect	U-99194	No-Effect
No-Effect	S-sulfo-L-cysteine	No-Effect
No-Effect	etebenecid	No-Effect
No-Effect	A922500	No-Effect
No-Effect	meluadrine	No-Effect
No-Effect	U-0521	No-Effect
No-Effect	bismuth(III)-trifluoromethanesulfonate	No-Effect
No-Effect	BD-1063	No-Effect
Low (25%)	sucrose-octaacetate	Low (25%)
No-Effect	N-MPPP	No-Effect
No-Effect	CH223191	No-Effect
No-Effect	AZD3264	No-Effect
No-Effect	AGI-5198	No-Effect
No-Effect	GSK2801	No-Effect
No-Effect	PI4KIII-beta-inhibitor-1	No-Effect
No-Effect	OT-R-antagonist-1	No-Effect
No-Effect	indium(III)-isopropoxide	No-Effect
No-Effect	ICI-215,001	No-Effect
No-Effect	declopramide	No-Effect
No-Effect	KML29	No-Effect
No-Effect	MEK1-2-inhibitor	No-Effect
No-Effect	adipic-acid	No-Effect
Very Weak (35%)	PIK-93	Very Weak (35%)
Manual Inspection	HTH-01-015	No-Effect
Manual Inspection	CYM-5520	No-Effect
No-Effect	SR-11302	No-Effect
No-Effect	NSC-5844	No-Effect
No-Effect	NQDI-1	No-Effect
No-Effect	G007-LK	No-Effect
No-Effect	SKLB1002	No-Effect
No-Effect	9-anthracenecarboxylic-acid	No-Effect
No-Effect	reynoutrin	No-Effect
No-Effect	ZLN005	No-Effect
No-Effect	INCA-6	No-Effect
Low (25%)	furagin	Low (25%)
No-Effect	ruxolitinib-(S)	No-Effect
No-Effect	BTS	No-Effect
No-Effect	compound-401	No-Effect
No-Effect	phenylethyl-alcohol	No-Effect
No-Effect	cyacetacide	No-Effect
Manual Inspection	ftaxilide	No-Effect
No-Effect	cis-aconitic-acid	No-Effect
No-Effect	benzenemethanol,-2,5-dimethyl-[[(1-methylethyl)amino]methyl]	No-Effect
No-Effect	AS-252424	No-Effect
Very Weak (35%)	hematoxylin	Very Weak (35%)
No-Effect	myricetin	No-Effect
No-Effect	esonarimod	No-Effect
No-Effect	sulbentine	No-Effect
Manual Inspection	4-iodo-L-phenylalanine	No-Effect
No-Effect	TC-G-1004	No-Effect
No-Effect	XAV-939	No-Effect
No-Effect	D-4476	No-Effect
Weak (50%)	CP-640186	Weak (50%)
Very Weak (35%)	SB-202190	Very Weak (35%)
No-Effect	A-1070722	No-Effect
No-Effect	ornipressin	No-Effect
No-Effect	purmorphamine	No-Effect
No-Effect	TCS-21311	No-Effect
No-Effect	SGC-CBP30	No-Effect
No-Effect	dihydromyricetin	No-Effect
No-Effect	EN460	No-Effect
No-Effect	CCG-63802	No-Effect
No-Effect	SJ-172550	No-Effect
No-Effect	STF-083010	No-Effect
Strong (80%)	GSK2606414	Strong (80%)
No-Effect	MCC950	No-Effect
No-Effect	Y16	No-Effect
No-Effect	TY-52156	No-Effect
No-Effect	PF-8380	No-Effect
No-Effect	D609	No-Effect
No-Effect	TEPP-46	No-Effect
No-Effect	GK921	No-Effect
No-Effect	IC261	No-Effect
No-Effect	BX-795	No-Effect
No-Effect	PRT4165	No-Effect
No-Effect	ceruletide	No-Effect
No-Effect	NADPH	No-Effect
No-Effect	MPI-0479605	No-Effect
Strong (80%)	VBY-825	Strong (80%)
No-Effect	kenpaullone	No-Effect
No-Effect	AR-A014418	No-Effect
No-Effect	tenovin-1	No-Effect
Weak (50%)	pifithrin-mu	Weak (50%)
No-Effect	2-methylimidazole	No-Effect
No-Effect	pregnenolone-succinate	No-Effect
No-Effect	sincalide	No-Effect
No-Effect	citric-acid	No-Effect
Strong (80%)	LY2183240	No-Effect
No-Effect	cilostamide	No-Effect
No-Effect	necrostatin-2	No-Effect
No-Effect	1-(2-chloro-5-methylphenoxy)-3-(isopropylamino)-2-propanol	No-Effect
No-Effect	NSC-636819	No-Effect
No-Effect	alpha-asarone	No-Effect
No-Effect	sphingosylphosphorylcholine	No-Effect
No-Effect	gramine	No-Effect
No-Effect	irganox-1010	No-Effect
No-Effect	LPA2-antagonist-1	No-Effect
No-Effect	BU-224	No-Effect
No-Effect	citiolone	No-Effect
No-Effect	AZ-628	No-Effect
No-Effect	PF-4708671	No-Effect
No-Effect	C-1	No-Effect
No-Effect	ITX3	No-Effect
No-Effect	BAY-11-7085	No-Effect
No-Effect	EED226	No-Effect
No-Effect	K145	No-Effect
No-Effect	AG-14361	No-Effect
No-Effect	BMS-265246	No-Effect
Manual Inspection	equilin	No-Effect
No-Effect	SGS-742	No-Effect
Weak (50%)	deazaguanine	Weak (50%)
No-Effect	symclosene	No-Effect
No-Effect	Ro-5263397	No-Effect
No-Effect	homidium	No-Effect
No-Effect	CGP-39551	No-Effect
No-Effect	buramate	No-Effect
No-Effect	A-967079	No-Effect
No-Effect	IBMX	No-Effect
No-Effect	4-tert-butylphenol	No-Effect
No-Effect	napamezole	No-Effect
No-Effect	NDD-094	No-Effect
No-Effect	plumbagin	No-Effect
No-Effect	val-tyr	No-Effect
Manual Inspection	velaresol	No-Effect
No-Effect	ameltolide	No-Effect
No-Effect	ZD-0947	No-Effect
No-Effect	GM-1485	No-Effect
No-Effect	chlorindanol	No-Effect
Manual Inspection	WP921	No-Effect
No-Effect	hydroxytacrine-maleate-(R,S)	No-Effect
No-Effect	p-dimethylinamyl-benzoate	No-Effect
No-Effect	eucatropine	No-Effect
No-Effect	RLX	No-Effect
No-Effect	lobendazole	No-Effect
No-Effect	fenaclon	No-Effect
No-Effect	etosalamide	No-Effect
No-Effect	fasoracetam	No-Effect
No-Effect	NB-001	No-Effect
No-Effect	6-aminopenicillanic-acid	No-Effect
No-Effect	isobutamben	No-Effect
No-Effect	H2L-5765834	No-Effect
Low (25%)	SR-1078	Low (25%)
No-Effect	HJC-0350	No-Effect
No-Effect	KHS-101	No-Effect
No-Effect	WWL-113	No-Effect
No-Effect	PF-5274857	No-Effect
No-Effect	anthraquinone	No-Effect
Manual Inspection	cresopirine	No-Effect
No-Effect	diacetamate	No-Effect
No-Effect	CID-16020046	No-Effect
No-Effect	AIM-100	No-Effect
No-Effect	eact	No-Effect
No-Effect	ML298	No-Effect
No-Effect	benzyl-isothiocyanate	No-Effect
No-Effect	dicloralurea	No-Effect
No-Effect	5-hydroxyectoine	No-Effect
No-Effect	RKI-1447	No-Effect
No-Effect	AS-2034178	No-Effect
No-Effect	PCI-29732	No-Effect
No-Effect	CC4	No-Effect
No-Effect	AH-7614	No-Effect
No-Effect	TC-A-2317	No-Effect
No-Effect	LY266097	No-Effect
No-Effect	MR-16728	No-Effect
No-Effect	capsazepine	No-Effect
No-Effect	MM-11253	No-Effect
No-Effect	NK-252	No-Effect
No-Effect	JNJ-27141491	No-Effect
No-Effect	TC-S-7009	No-Effect
Cyto	API-1	Cyto
No-Effect	WAY-208466	No-Effect
No-Effect	fisetin	No-Effect
Strong (80%)	guanosine	Strong (80%)
No-Effect	bilobalide	No-Effect
No-Effect	4-hydroxy-phenazone	No-Effect
No-Effect	adrenosterone	No-Effect
No-Effect	AA-29504	No-Effect
No-Effect	SC-236	No-Effect
No-Effect	pifithrin-cyclic	No-Effect
No-Effect	alizarin	No-Effect
No-Effect	xanthone	No-Effect
No-Effect	CRT0044876	No-Effect
No-Effect	apronal	No-Effect
Manual Inspection	mepiroxol	No-Effect
No-Effect	gallic-acid	No-Effect
No-Effect	4-phenyl-1,2,3,4-tetrahydroisoquinoline	No-Effect
No-Effect	editol	No-Effect
No-Effect	monocrotaline	No-Effect
Manual Inspection	lauric-diethanolamide	No-Effect
No-Effect	AZD7687	No-Effect
No-Effect	NS-8	No-Effect
No-Effect	tretazicar	No-Effect
No-Effect	peretinoin	No-Effect
Weak (50%)	lumateperone	Weak (50%)
No-Effect	R406	No-Effect
Cyto	OTX015	Cyto
No-Effect	SNX-5422	No-Effect
No-Effect	ditiocarb-sodium-trihydrate	No-Effect
No-Effect	RU-58841	No-Effect
Weak (50%)	OSI-027	Weak (50%)
No-Effect	L-655240	No-Effect
No-Effect	methiopril	No-Effect
Strong (80%)	CC-115	Strong (80%)
No-Effect	laurocapram	No-Effect
Strong (80%)	thaliblastine	Strong (80%)
No-Effect	FK-33-824	No-Effect
No-Effect	alinidine	No-Effect
No-Effect	lisofylline	No-Effect
No-Effect	BQ-123	No-Effect
No-Effect	elacridar	No-Effect
Cyto	SB-939	Cyto
No-Effect	acalisib	No-Effect
No-Effect	RG1530	No-Effect
Cyto	JNJ-26481585	Cyto
No-Effect	targinine	No-Effect
No-Effect	MC-1	No-Effect
No-Effect	CHF5074	No-Effect
Manual Inspection	BMS-983970	No-Effect
No-Effect	Ro-4987655	No-Effect
Very Weak (35%)	voxtalisib	Very Weak (35%)
No-Effect	resminostat	No-Effect
No-Effect	benzotript	No-Effect
Cyto	delanzomib	Cyto
No-Effect	reparixin	No-Effect
Manual Inspection	luteolin	No-Effect
No-Effect	GMX1778	No-Effect
No-Effect	AZD1446	No-Effect
No-Effect	BI-847325	No-Effect
No-Effect	KW-2478	No-Effect
No-Effect	anpirtoline	No-Effect
Manual Inspection	honokiol	No-Effect
No-Effect	SSR180711	No-Effect
No-Effect	senicapoc	No-Effect
No-Effect	etomoxir	No-Effect
No-Effect	amitifadine	No-Effect
No-Effect	indole-3-carbinol	No-Effect
Low (25%)	anisodamine	Low (25%)
No-Effect	cetilistat	No-Effect
No-Effect	geranyl-farnesylacetate	No-Effect
No-Effect	TAK-733	No-Effect
No-Effect	TXA127	No-Effect
No-Effect	S18986	No-Effect
No-Effect	ellagic-acid	No-Effect
No-Effect	LX7101	No-Effect
No-Effect	piperazinedione	No-Effect
No-Effect	kakonein	No-Effect
No-Effect	RGB-286638	No-Effect
Manual Inspection	myristyl-nicotinate	No-Effect
No-Effect	cediranib	No-Effect
Very Weak (35%)	zoxazolamine	Very Weak (35%)
No-Effect	PF-06747775	No-Effect
No-Effect	putrescine	No-Effect
No-Effect	pyroxamide	No-Effect
No-Effect	GDC-0623	No-Effect
No-Effect	6-aminochrysene	No-Effect
No-Effect	danusertib	No-Effect
No-Effect	TH-302	No-Effect
No-Effect	TG100-115	No-Effect
No-Effect	ibutamoren	No-Effect
No-Effect	AV-608	No-Effect
No-Effect	AZD6482	No-Effect
No-Effect	clomesone	No-Effect
Low (25%)	ebselen	Low (25%)
Weak (50%)	plinabulin	Weak (50%)
No-Effect	trofinetide	No-Effect
No-Effect	leucylleucine-methyl-ester	No-Effect
Manual Inspection	frentizole	No-Effect
No-Effect	4SC-202	No-Effect
No-Effect	AP26113	No-Effect
Manual Inspection	GSK1292263	No-Effect
No-Effect	RG4733	No-Effect
Weak (50%)	CPI-0610	Weak (50%)
No-Effect	XL147	No-Effect
No-Effect	INC-280	No-Effect
Low (25%)	camicinal	Low (25%)
Low (25%)	AMG-208	Low (25%)
No-Effect	MK-3697	No-Effect
No-Effect	PHA-793887	No-Effect
No-Effect	cyt387	No-Effect
Manual Inspection	BTZ043-racemate	No-Effect
No-Effect	SLV-319-(+/-)	No-Effect
No-Effect	UK-383367	No-Effect
No-Effect	Lu-AA-47070	No-Effect
No-Effect	milacemide	No-Effect
No-Effect	piclamilast	No-Effect
Weak (50%)	briciclib	Weak (50%)
No-Effect	elesclomol	No-Effect
No-Effect	MK-0773	No-Effect
No-Effect	mibampator	No-Effect
Manual Inspection	imiloxan	No-Effect
Cyto	R547	Cyto
No-Effect	AS-77	No-Effect
No-Effect	E-2012	No-Effect
No-Effect	semagacestat	No-Effect
No-Effect	S-111	No-Effect
No-Effect	YM-155	No-Effect
No-Effect	NSC-4644	No-Effect
No-Effect	pindolol-(-)	No-Effect
No-Effect	nisoxetine	No-Effect
No-Effect	ADL5859	No-Effect
No-Effect	PNU-22394	No-Effect
No-Effect	ammonium-perfluorocaprylate	No-Effect
No-Effect	apratastat	No-Effect
No-Effect	TU-2100	No-Effect
No-Effect	iododexetimide	No-Effect
No-Effect	indibulin	No-Effect
No-Effect	hyodeoxycholic-acid	No-Effect
Cyto	P276-00	Cyto
No-Effect	MD-920	No-Effect
Very Weak (35%)	I-BZA2	Very Weak (35%)
No-Effect	secoisolariciresinol-(-)	No-Effect
No-Effect	arbutin	No-Effect
No-Effect	ALS-8176	No-Effect
No-Effect	DU-728	No-Effect
Manual Inspection	losmapimod	No-Effect
Very Weak (35%)	CX-4945	Very Weak (35%)
No-Effect	BP-897	No-Effect
Manual Inspection	pinocembrin	No-Effect
No-Effect	piricapiron	No-Effect
No-Effect	filgotinib	No-Effect
No-Effect	ST-1859	No-Effect
No-Effect	rivanicline	No-Effect
No-Effect	NXY-059	No-Effect
No-Effect	pirodavir	No-Effect
No-Effect	CUDC-101	No-Effect
No-Effect	talarozole	No-Effect
No-Effect	PRX-08066	No-Effect
No-Effect	AZD1981	No-Effect
No-Effect	MK-8033	No-Effect
No-Effect	CH5132799	No-Effect
Weak (50%)	levomequitazine	Weak (50%)
No-Effect	naringenin	No-Effect
No-Effect	gastrodin	No-Effect
No-Effect	seocalcitol	No-Effect
No-Effect	amygdalin	No-Effect
No-Effect	setmelanotide	No-Effect
No-Effect	WAY-362450	No-Effect
Strong (80%)	combretastatin-A-4	Strong (80%)
No-Effect	piperine	No-Effect
Manual Inspection	taxifolin	No-Effect
No-Effect	MF-101	No-Effect
No-Effect	AMD11070	No-Effect
No-Effect	GDC-0068	No-Effect
No-Effect	VCH-916	No-Effect
Manual Inspection	salicin	No-Effect
No-Effect	pentetic-acid	No-Effect
No-Effect	pterostilbene	No-Effect
No-Effect	INT-747	No-Effect
No-Effect	AS-703026	No-Effect
No-Effect	RITA	No-Effect
Very Weak (35%)	erbstatin-analog	Very Weak (35%)
No-Effect	L-690330	No-Effect
No-Effect	BAY-11-7082	No-Effect
Low (25%)	PDE10-IN-1	Low (25%)
No-Effect	SKF-96365	No-Effect
No-Effect	KN-93	No-Effect
Very Weak (35%)	Ro-106-9920	Very Weak (35%)
Low (25%)	BIBR-1532	Low (25%)
No-Effect	W-54011	No-Effect
No-Effect	KPT-185	No-Effect
No-Effect	4-iodo-6-phenylpyrimidine	No-Effect
No-Effect	ATPA	No-Effect
No-Effect	WDR5-0103	No-Effect
Manual Inspection	bismuth-oxalate	No-Effect
No-Effect	mecarbinate	No-Effect
No-Effect	GSK429286A	No-Effect
No-Effect	safflower-yellow	No-Effect
No-Effect	hordenine	No-Effect
No-Effect	cot-inhibitor-1	No-Effect
No-Effect	ST-2825	No-Effect
No-Effect	BAY-41-2272	No-Effect
No-Effect	imirestat	No-Effect
No-Effect	azacyclonol	No-Effect
Manual Inspection	TC-ASK-10	No-Effect
Weak (50%)	UNC0642	Weak (50%)
Weak (50%)	dorsomorphin	Weak (50%)
No-Effect	deoxyarbutin	No-Effect
No-Effect	SYM-2206	No-Effect
No-Effect	benzoylpas	No-Effect
No-Effect	SKF-77434	No-Effect
No-Effect	S15535	No-Effect
No-Effect	camobucol	No-Effect
Cyto	TEN-010	Cyto
No-Effect	AVN-492	No-Effect
No-Effect	GW-438014A	No-Effect
No-Effect	ML297	No-Effect
No-Effect	tyrphostin-AG-879	No-Effect
Manual Inspection	isoflupredone-acetate	No-Effect
No-Effect	tribromoethanol	No-Effect
No-Effect	CaMKII-IN-1	No-Effect
Weak (50%)	PD-168393	Weak (50%)
No-Effect	BL-5583	No-Effect
No-Effect	antimycin-A	No-Effect
No-Effect	NU-7026	No-Effect
No-Effect	ITE	No-Effect
No-Effect	NS-1643	No-Effect
No-Effect	ICA-121431	No-Effect
Low (25%)	YM-58483	Low (25%)
Weak (50%)	K02288	Weak (50%)
No-Effect	E-64	No-Effect
No-Effect	tubastatin-A	No-Effect
No-Effect	droxinostat	No-Effect
No-Effect	NSC-3852	No-Effect
No-Effect	UF-010	No-Effect
No-Effect	scriptaid	No-Effect
No-Effect	BRD7389	No-Effect
No-Effect	IOX1	No-Effect
No-Effect	GP1a	No-Effect
Low (25%)	heclin	Low (25%)
No-Effect	PCI-34051	No-Effect
No-Effect	RGFP966	No-Effect
No-Effect	BU-239	No-Effect
Cyto	M-344	Cyto
Cyto	LMK-235	Cyto
Low (25%)	ETP-46464	Low (25%)
No-Effect	MC1568	No-Effect
Low (25%)	SP-141	Low (25%)
No-Effect	NAB-2	No-Effect
No-Effect	TC-H-106	No-Effect
No-Effect	N-methyl-(-)ephedrine-[1R,2S]	No-Effect
No-Effect	UK-356618	No-Effect
No-Effect	propidium-iodide	No-Effect
No-Effect	mavatrep	No-Effect
No-Effect	dexfosfoserine	No-Effect
No-Effect	macozinone	No-Effect
No-Effect	CycLuc1	No-Effect
No-Effect	H-151	No-Effect
No-Effect	omapatrilat	No-Effect
Low (25%)	SD-2590	Low (25%)
No-Effect	piconol	No-Effect
No-Effect	CPI-169	No-Effect
No-Effect	2-thiouracil	No-Effect
No-Effect	TCS-OX2-29	No-Effect
No-Effect	CZC24832	No-Effect
No-Effect	SU11274	No-Effect
Cyto	emamectin	Cyto
No-Effect	PRN1008	No-Effect
No-Effect	sardomozide	No-Effect
No-Effect	SNAP-94847	No-Effect
No-Effect	ML133	No-Effect
No-Effect	TC1	No-Effect
No-Effect	O-1918	No-Effect
No-Effect	amyl-nitrite	No-Effect
No-Effect	Mps1-IN-1	No-Effect
No-Effect	AT7867	No-Effect
No-Effect	fluralaner	No-Effect
Weak (50%)	SKLB-1028	Weak (50%)
No-Effect	simurosertib	No-Effect
No-Effect	TMS	No-Effect
No-Effect	TUG-891	No-Effect
Manual Inspection	hypoxanthine	No-Effect
No-Effect	UBP-296	No-Effect
No-Effect	AC-55541	No-Effect
No-Effect	cicloprofen	No-Effect
No-Effect	AX-024	No-Effect
No-Effect	florifenine	No-Effect
Manual Inspection	atractylenolide-i	No-Effect
No-Effect	PZ-2891	No-Effect
No-Effect	cloxyquin	No-Effect
No-Effect	YM-244769	No-Effect
No-Effect	autotaxin-modulator-1	No-Effect
Weak (50%)	WYE-125132	Weak (50%)
No-Effect	CPA-inhibitor	No-Effect
No-Effect	APY-29	No-Effect
Manual Inspection	vorasidenib	No-Effect
No-Effect	DBPR-211	No-Effect
No-Effect	alpha-glucosyl-hesperidin	No-Effect
No-Effect	nemorexant	No-Effect
Very Weak (35%)	bromosporine	Very Weak (35%)
No-Effect	NAV-26	No-Effect
No-Effect	LY2109761	No-Effect
No-Effect	SKF-38393	No-Effect
No-Effect	BI-78D3	No-Effect
No-Effect	ligustilide	No-Effect
No-Effect	GSK-J2	No-Effect
No-Effect	Gln-1062	No-Effect
Manual Inspection	6-diazo-5-oxo-L-norleucine	No-Effect
No-Effect	macitentan-n-butyl-analogue	No-Effect
Manual Inspection	SMER-28	No-Effect
No-Effect	LIMKi-3	No-Effect
No-Effect	SB-772077B	No-Effect
No-Effect	isoguvacine	No-Effect
No-Effect	beta-glycerophosphoric-acid	No-Effect
Weak (50%)	metitepine	Weak (50%)
No-Effect	AM679	No-Effect
No-Effect	GSK2239633A	No-Effect
No-Effect	uprifosbuvir	No-Effect
No-Effect	butaprost	No-Effect
No-Effect	tyrphostin-A9	No-Effect
No-Effect	AK-7	No-Effect
No-Effect	diosgenin	No-Effect
No-Effect	BIO-5192	No-Effect
No-Effect	nexturastat-A	No-Effect
No-Effect	emodin	No-Effect
No-Effect	CMPD-1	No-Effect
No-Effect	PF-05089771	No-Effect
Strong (80%)	nanchangmycin	Strong (80%)
No-Effect	ocaperidone	No-Effect
No-Effect	EHop-016	No-Effect
No-Effect	LM-22A4	No-Effect
No-Effect	GW-7647	No-Effect
No-Effect	PF-06282999	No-Effect
Cyto	cinromide	Cyto
Very Weak (35%)	galidesivir	Very Weak (35%)
No-Effect	remacemide	No-Effect
No-Effect	emixustat	No-Effect
No-Effect	broxyquinoline	No-Effect
No-Effect	lersivirine	No-Effect
No-Effect	dapivirine	No-Effect
No-Effect	ADD-233089	No-Effect
No-Effect	diclofensine	No-Effect
No-Effect	acelarin	No-Effect
No-Effect	menadione-bisulfite	No-Effect
No-Effect	valrocemide	No-Effect
No-Effect	fananserin	No-Effect
Low (25%)	resibufogenin	Low (25%)
No-Effect	orantinib	No-Effect
No-Effect	terutroban	No-Effect
No-Effect	dipraglurant	No-Effect
No-Effect	bis(maltolato)oxovanadium(IV)	No-Effect
No-Effect	filanesib	No-Effect
Weak (50%)	rimcazole	Weak (50%)
No-Effect	zardaverine	No-Effect
No-Effect	fluprazine	No-Effect
No-Effect	ercalcitriol	No-Effect
No-Effect	DMPS	No-Effect
No-Effect	ochromycinone	No-Effect
No-Effect	2,3-cis/exo-pinanediol	No-Effect
Low (25%)	tesaglitazar	Low (25%)
Manual Inspection	sipatrigine	No-Effect
No-Effect	NM107	No-Effect
No-Effect	PX-12	No-Effect
No-Effect	examorelin	No-Effect
No-Effect	dazmegrel	No-Effect
No-Effect	ABC-294640	No-Effect
No-Effect	REV-5901	No-Effect
No-Effect	OSI-930	No-Effect
Manual Inspection	etanidazole	No-Effect
No-Effect	ilomastat	No-Effect
No-Effect	phortress	No-Effect
No-Effect	ezatiostat	No-Effect
No-Effect	beta-lapachone	No-Effect
No-Effect	CC-223	No-Effect
No-Effect	BIBN4096	No-Effect
No-Effect	LB-100	No-Effect
Manual Inspection	E7449	No-Effect
No-Effect	velneperit	No-Effect
No-Effect	mofegiline	No-Effect
No-Effect	MLN9708	No-Effect
No-Effect	palifosfamide	No-Effect
No-Effect	ATB-346	No-Effect
No-Effect	teroxirone	No-Effect
No-Effect	savolitinib	No-Effect
No-Effect	Ro-5126766	No-Effect
Very Weak (35%)	BNC105	Very Weak (35%)
No-Effect	BQ-788	No-Effect
No-Effect	CUDC-427	No-Effect
No-Effect	rebastinib	No-Effect
No-Effect	epigallocatechin-gallate-(-)	No-Effect
No-Effect	NLG919	No-Effect
Very Weak (35%)	GKT137831	Very Weak (35%)
No-Effect	nepicastat	No-Effect
No-Effect	GS-9973	No-Effect
No-Effect	metrifonate	No-Effect
No-Effect	aldoxorubicin	No-Effect
No-Effect	AZD1080	No-Effect
No-Effect	talabostat	No-Effect
No-Effect	imeglimin	No-Effect
No-Effect	RX-3117	No-Effect
No-Effect	RRx-001	No-Effect
No-Effect	anandamide	No-Effect
Low (25%)	2-(3-mercaptopropyl)pentanedioic-acid	Low (25%)
No-Effect	abafungin	No-Effect
No-Effect	3-deazaadenosine	No-Effect
No-Effect	amiprilose	No-Effect
No-Effect	nolatrexed	No-Effect
No-Effect	ABT-239	No-Effect
No-Effect	ATN-161	No-Effect
Low (25%)	indirubin	Low (25%)
No-Effect	RWJ-67657	No-Effect
No-Effect	pleconaril	No-Effect
No-Effect	PF-3274167	No-Effect
No-Effect	TAK-063	No-Effect
No-Effect	AR-12	No-Effect
No-Effect	cinalukast	No-Effect
No-Effect	SNS-314	No-Effect
No-Effect	azeliragon	No-Effect
No-Effect	diroximel-fumarate	No-Effect
No-Effect	suritozole	No-Effect
No-Effect	corosolic-acid	No-Effect
No-Effect	ipidacrine	No-Effect
No-Effect	KW-2449	No-Effect
No-Effect	piroximone	No-Effect
No-Effect	AFN-1252	No-Effect
No-Effect	xilobam	No-Effect
Very Weak (35%)	KX2-391	Very Weak (35%)
No-Effect	exisulind	No-Effect
No-Effect	oxypurinol	No-Effect
No-Effect	fidarestat	No-Effect
